O*NET-SOC 2006 Code,O*NET-SOC 2006 Title,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title
11-1011.00,Chief Executives,11-1011.00,Chief Executives
11-1021.00,General and Operations Managers,11-1021.00,General and Operations Managers
11-1031.00,Legislators,11-1031.00,Legislators
11-2011.00,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers
11-2021.00,Marketing Managers,11-2021.00,Marketing Managers
11-2022.00,Sales Managers,11-2022.00,Sales Managers
11-2031.00,Public Relations Managers,11-2031.00,Public Relations Managers
11-3011.00,Administrative Services Managers,11-3011.00,Administrative Services Managers
11-3021.00,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers
11-3031.00,Financial Managers,11-3031.00,Financial Managers
11-3031.01,Treasurers and Controllers,11-3031.01,Treasurers and Controllers
11-3031.02,"Financial Managers, Branch or Department",11-3031.02,"Financial Managers, Branch or Department"
11-3040.00,Human Resources Managers,11-3040.00,Human Resources Managers
11-3041.00,Compensation and Benefits Managers,11-3041.00,Compensation and Benefits Managers
11-3042.00,Training and Development Managers,11-3042.00,Training and Development Managers
11-3049.99,"Human Resources Managers, All Other",11-3049.00,"Human Resources Managers, All Other"
11-3051.00,Industrial Production Managers,11-3051.00,Industrial Production Managers
11-3061.00,Purchasing Managers,11-3061.00,Purchasing Managers
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
11-3071.01,Transportation Managers,11-3071.01,Transportation Managers
11-3071.02,Storage and Distribution Managers,11-3071.02,Storage and Distribution Managers
11-9011.00,"Farm, Ranch, and Other Agricultural Managers",11-9011.00,"Farm, Ranch, and Other Agricultural Managers"
11-9011.01,Nursery and Greenhouse Managers,11-9011.01,Nursery and Greenhouse Managers
11-9011.02,Crop and Livestock Managers,11-9011.02,Crop and Livestock Managers
11-9011.03,Aquacultural Managers,11-9011.03,Aquacultural Managers
11-9012.00,Farmers and Ranchers,11-9012.00,Farmers and Ranchers
11-9021.00,Construction Managers,11-9021.00,Construction Managers
11-9031.00,"Education Administrators, Preschool and Child Care Center/Program",11-9031.00,"Education Administrators, Preschool and Child Care Center/Program"
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Elementary and Secondary School"
11-9033.00,"Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary"
11-9039.99,"Education Administrators, All Other",11-9039.00,"Education Administrators, All Other"
11-9041.00,Engineering Managers,11-9041.00,Engineering Managers
11-9051.00,Food Service Managers,11-9051.00,Food Service Managers
11-9061.00,Funeral Directors,11-9061.00,Funeral Directors
11-9071.00,Gaming Managers,11-9071.00,Gaming Managers
11-9081.00,Lodging Managers,11-9081.00,Lodging Managers
11-9111.00,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers
11-9121.00,Natural Sciences Managers,11-9121.00,Natural Sciences Managers
11-9131.00,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers"
11-9151.00,Social and Community Service Managers,11-9151.00,Social and Community Service Managers
11-9199.99,"Managers, All Other",11-9199.00,"Managers, All Other"
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021.00,"Purchasing Agents and Buyers, Farm Products",13-1021.00,"Purchasing Agents and Buyers, Farm Products"
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
13-1031.01,"Claims Examiners, Property and Casualty Insurance",13-1031.01,"Claims Examiners, Property and Casualty Insurance"
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage"
13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
13-1041.01,Environmental Compliance Inspectors,13-1041.01,Environmental Compliance Inspectors
13-1041.02,Licensing Examiners and Inspectors,13-1041.02,Licensing Examiners and Inspectors
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,Equal Opportunity Representatives and Officers
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,Government Property Inspectors and Investigators
13-1041.06,Coroners,13-1041.06,Coroners
13-1051.00,Cost Estimators,13-1051.00,Cost Estimators
13-1061.00,Emergency Management Specialists,13-1061.00,Emergency Management Specialists
13-1071.00,"Employment, Recruitment, and Placement Specialists",13-1071.00,"Employment, Recruitment, and Placement Specialists"
13-1071.01,Employment Interviewers,13-1071.01,Employment Interviewers
13-1071.02,Personnel Recruiters,13-1071.02,Personnel Recruiters
13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",13-1072.00,"Compensation, Benefits, and Job Analysis Specialists"
13-1073.00,Training and Development Specialists,13-1073.00,Training and Development Specialists
13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other",13-1079.00,"Human Resources, Training, and Labor Relations Specialists, All Other"
